Problem,Specialist
"আমার শরীরের এক জায়গার মাংসপেশী দিয়ে অন্য জায়গায় পুনর্গঠন করতে হবে (ফ্ল্যাপ সার্জারি)।",Surgery
"আমার পুরোনো অপারেশনের দাগ খুব বিশ্রী হয়ে গেছে, প্লাস্টিক সার্জারি করতে চাই।",Surgery
"আমার স্তন ক্যান্সারের পর স্তন পুনর্গঠন করতে হবে।",Surgery
"আমার একটি কিডনি অকেজো হয়ে গেছে, যা অপসারণ করতে হবে।",Surgery
"আমার শরীরে বুলেটবিদ্ধ ক্ষত রয়েছে।",Surgery
"ছুরি বা কাঁচের আঘাতে আমার মাংসপেশী ও শিরা কেটে গেছে।",Surgery
"আমার ভাঙা হাড় প্লেট ও স্ক্রু দিয়ে জোড়া দিতে হবে।",Surgery
"আমার পায়ের একটি অংশ গ্যাংগ্রিন হয়ে কালো হয়ে গেছে।",Surgery
"আমার কাঁধের রൊটেটর কাফ ছিঁড়ে গেছে, হাত উপরে তুলতে পারি না।",Surgery
"আমার নিতম্বের জয়েন্টে রক্ত সরবরাহ বন্ধ হয়ে হাড় মরে যাচ্ছে।",Surgery
"আমার গোড়ালির অ্যাকিলিস টেনডন ছিঁড়ে গেছে।",Surgery
"আমার তালুর চামড়া পুরু হয়ে আঙুল বাঁকা হয়ে যাচ্ছে (ডুপুইট্রেন'স কন্ট্রাকচার)।",Surgery
"আমার কুঁচকির কাছে একটি টিউমার হয়েছে।",Surgery
"আমার মেরুদণ্ডের একটি কশেরুকা ভেঙে গেছে।",Surgery
"আমার পেটের ভেতরে অ্যাপেন্ডিক্স ফেটে ইনফেকশন ছড়িয়ে পড়েছে।",Surgery
"আমার গ্যাস্ট্রিক বাইপাস সার্জারির প্রয়োজন।",Surgery
"আমার চোয়ালের জয়েন্টে সমস্যা হওয়ায় মুখ খুলতে বা বন্ধ করতে তীব্র ব্যথা হয়।",Surgery
"আমার পাঁজরের হাড় ভেঙে ফুসফুসকে আঘাত করেছে।",Surgery
"আমার শ্বাসনালীতে ছিদ্র হয়ে গেছে।",Surgery
"আমার শরীরে তৃতীয় মাত্রার পোড়া ক্ষত আছে।",Surgery
"আমার হাতের একটি আঙুল মেশিনে কেটে পড়ে গেছে।",Surgery
"আমার অন্ত্র ফুটো হয়ে গেছে।",Surgery
"আমার সেলাইয়ের জায়গা থেকে পুঁজ ও রক্ত বের হচ্ছে।",Surgery
"আমার অপারেশনের জায়গায় আবার টিউমার হয়েছে।",Surgery
"আমার শরীরে লাগানো কৃত্রিম জয়েন্ট (প্রোস্থেসিস) ইনফেকশন হয়েছে।",Surgery
"আমার পেটের ভেতরে গজ বা ফরেন বডি রয়ে গেছে বলে মনে হচ্ছে।",Surgery
"আমার হাতের কব্জির হাড় সরে গিয়ে স্নায়ুতে চাপ দিচ্ছে।",Surgery
"আমার চোখের পেছনের রেটিনা আলাদা হয়ে যাচ্ছে।",Surgery
"আমার কানের পর্দায় বড় একটি ছিদ্র হয়েছে।",Surgery
"আমার টনসিলের পাথর হয়েছে, গলায় অস্বস্তি হয়।",Surgery
"আমার ঘাড়ের কাছে একটি সিস্ট হয়েছে।",Surgery
"আমার পিঠের মাঝখানে একটি বড় আকারের লাইপোমা হয়েছে।",Surgery
"আমার পায়ের আঙুলের নখ মাংসের ভেতর ঢুকে ইনফেকশন হয়েছে।",Surgery
"আমার পায়ুপথের পাশে ফোঁড়া হয়ে পুঁজ জমেছে।",Surgery
"আমার পায়খানার রাস্তা সঙ্কুচিত হয়ে গেছে।",Surgery
"আমার শিশুর জন্মের পর থেকেই নাভি দিয়ে পানি ঝরে।",Surgery
"আমার শিশুর মাথার তালুর নরম জায়গাটি সময়ের আগেই শক্ত হয়ে গেছে।",Surgery
"আমার হৃদপিণ্ডের রক্তনালীতে চর্বি জমে প্রায় বন্ধ হয়ে গেছে।",Surgery
"আমার ফুসফুসের একটি অংশ অকার্যকর হয়ে পড়েছে।",Surgery
"আমার লিভারের সিস্ট ফেটে গেছে।",Surgery
"আমার কিডনিতে একটি বড় আকারের ক্যান্সারাস টিউমার হয়েছে।",Surgery
"আমার মূত্রথলিতে পাথর আটকে গেছে।",Surgery
"আমার ভাঙা চোয়াল তার দিয়ে বাঁধতে হবে।",Surgery
"আমার মুখের তালু জন্মগতভাবে কাটা।",Surgery
"আমার পা দুইটি জন্মগতভাবে বাঁকা (ক্লাব ফুট)।",Surgery
"আমার মেরুদণ্ড একদিকে মারাত্মকভাবে বেঁকে গেছে (স্কোলিওসিস)।",Surgery
"আমার হাতের সব আঙুল অবশ লাগে এবং রাতে ব্যথা বাড়ে।",Surgery
"আমার পেটের ভেতর পুঁজ জমে অ্যাবসেস হয়েছে।",Surgery
"আমার স্তনের ভেতরে পুঁজ জমেছে।",Surgery
"আমার হাঁটুর জয়েন্টের কার্টিলেজ ছিঁড়ে গেছে।",Surgery
"আমার কাঁধের হাড় ভেঙে গেছে।",Surgery
"আমার পায়ের ফিমার হাড় দুই টুকরো হয়ে গেছে।",Surgery
"আমার ট্রাকিওস্টোমি করতে হবে।",Surgery
"আমার কোলোস্টোমি ব্যাগ লাগাতে হবে।",Surgery
"আমার শরীরের একটি আর্টারি ফেটে রক্তপাত হচ্ছে।",Surgery
"আমার ডিপ ভেইন থ্রম্বোসিস হয়ে পা মারাত্মক ফুলে গেছে।",Surgery
"আমার গ্যাংগ্রিন হওয়া আঙুল কেটে ফেলতে হবে।",Surgery
"আমার ব্রেইনের রক্তনালীতে একটি দুর্বল স্থান (অ্যানিউরিজম) রয়েছে।",Surgery
"আমার স্পাইনাল কর্ডে একটি টিউমার হয়েছে।",Surgery
"আমার চোখের লেন্স প্রতিস্থাপন করতে হবে।",Surgery
"আমার সাইনাসের ভেতরে ফাঙ্গাল ইনফেকশন হয়েছে।",Surgery
"আমার স্বরযন্ত্রের ক্যান্সার হয়েছে।",Surgery
"আমার অপারেশনের সেলাই খুলে গেছে।",Surgery
"আমার পেটে আঘাত লেগে ভেতরের অঙ্গপ্রত্যঙ্গ ক্ষতিগ্রস্ত হয়েছে।",Surgery
"আমার মাথার খুলির একটি অংশ অপারেশনের জন্য খুলতে হবে।",Surgery
"আমার বায়োপসি করার পর থেকে জায়গাটা ফুলে গেছে এবং রক্ত পড়া বন্ধ হচ্ছে না।",Surgery
"দুর্ঘটনার পর আমার ডায়াফ্রাম ছিঁড়ে গেছে, তাই শ্বাস নিতে খুব কষ্ট হচ্ছে।",Surgery
"আমার ভাঙা হাড়ে লাগানো একটি স্ক্রু আলগা হয়ে চামড়ার নিচে ব্যথা করছে।",Surgery
